stimulus,category,seed,block,epoch,pred_A,pred_B
1,A,1,10,1,0.9114605,0.088539615
2,A,1,10,1,0.9055169,0.09448303
3,A,1,10,1,0.92877525,0.071224734
4,A,1,10,1,0.9054047,0.0945954
5,A,1,10,1,0.8995799,0.10042006
6,A,1,10,1,0.9055169,0.09448306
7,A,1,10,1,0.5131435,0.48685655
8,B,1,10,1,0.088539615,0.9114605
9,B,1,10,1,0.09448303,0.9055169
10,B,1,10,1,0.09459539,0.9054047
11,B,1,10,1,0.07122472,0.92877525
12,B,1,10,1,0.10042006,0.8995799
13,B,1,10,1,0.09448305,0.9055169
14,B,1,10,1,0.48685658,0.51314354
1,A,1,1,2,0.7444514,0.2555485
2,A,1,1,2,0.7409419,0.25905818
3,A,1,1,2,0.74392533,0.25607464
4,A,1,1,2,0.7401926,0.25980747
5,A,1,1,2,0.7396196,0.26038042
6,A,1,1,2,0.7401926,0.25980744
7,A,1,1,2,0.4705976,0.52940243
8,B,1,1,2,0.2580073,0.74199283
9,B,1,1,2,0.2589683,0.7410316
10,B,1,1,2,0.2532725,0.74672747
11,B,1,1,2,0.27472675,0.7252732
12,B,1,1,2,0.2617802,0.7382196
13,B,1,1,2,0.27472678,0.7252732
14,B,1,1,2,0.52206784,0.4779321
1,A,1,2,2,0.8119563,0.18804373
2,A,1,2,2,0.81792045,0.18207952
3,A,1,2,2,0.8069111,0.19308878
4,A,1,2,2,0.8069111,0.19308878
5,A,1,2,2,0.80246747,0.19753256
6,A,1,2,2,0.8069111,0.1930888
7,A,1,2,2,0.49016383,0.5098362
8,B,1,2,2,0.18804373,0.81195635
9,B,1,2,2,0.18207951,0.81792045
10,B,1,2,2,0.19308878,0.8069111
11,B,1,2,2,0.19308878,0.8069111
12,B,1,2,2,0.19753256,0.80246747
13,B,1,2,2,0.19308878,0.8069111
14,B,1,2,2,0.50983626,0.49016377
1,A,1,3,2,0.84582984,0.15417029
2,A,1,3,2,0.85550815,0.14449194
3,A,1,3,2,0.8403943,0.1596058
4,A,1,3,2,0.8403943,0.1596058
5,A,1,3,2,0.8354445,0.1645555
6,A,1,3,2,0.8403943,0.1596058
7,A,1,3,2,0.4973648,0.5026352
8,B,1,3,2,0.15417029,0.84582984
9,B,1,3,2,0.14449196,0.85550815
