stimulus,seed,iteration,observed_probs,observed_ranking,predicted_probs_leaf,predicted_probs_basic,predicted_probs_best,reaction_time,correlation_probs_leaf,correlation_probs_basic,correlation_probs_best,correlation_rank_leaf,correlation_rank_basic,correlation_rank_best
1,100,1,0.72,5,0.75,0.75,0.75,4.79221344,,0.389390516,0.368485342,0.373529412,0.561764706,0.464705882
2,100,1,0.72,6,0.75,0.5,0.5,5.984306335,,0.389390516,0.368485342,0.373529412,0.561764706,0.464705882
3,100,1,0.44,3,0.75,0.25,0.25,5.507469177,,0.389390516,0.368485342,0.373529412,0.561764706,0.464705882
4,100,1,0.97,13,0.75,0.75,0.75,4.79221344,,0.389390516,0.368485342,0.373529412,0.561764706,0.464705882
5,100,1,0.72,7,0.75,0.5,0.5,4.291534424,,0.389390516,0.368485342,0.373529412,0.561764706,0.464705882
6,100,1,0.98,16,0.75,0.75,0.75,5.602836609,,0.389390516,0.368485342,0.373529412,0.561764706,0.464705882
7,100,1,0.97,14,0.75,0.75,0.75,4.887580872,,0.389390516,0.368485342,0.373529412,0.561764706,0.464705882
8,100,1,0.77,8,0.75,0.5,0.5,4.887580872,,0.389390516,0.368485342,0.373529412,0.561764706,0.464705882
9,100,1,0.27,1,0.75,0.5,0.5,4.625320435,,0.389390516,0.368485342,0.373529412,0.561764706,0.464705882
10,100,1,0.95,12,0.75,0.833333313,0.833333313,4.410743713,,0.389390516,0.368485342,0.373529412,0.561764706,0.464705882
11,100,1,0.39,2,0.75,0.5,0.5,4.410743713,,0.389390516,0.368485342,0.373529412,0.561764706,0.464705882
12,100,1,0.67,4,0.75,0.25,0.375,5.292892456,,0.389390516,0.368485342,0.373529412,0.561764706,0.464705882
13,100,1,0.81,9,0.75,0.75,0.5,5.507469177,,0.389390516,0.368485342,0.373529412,0.561764706,0.464705882
14,100,1,0.97,15,0.75,0.833333313,0.833333313,4.601478577,,0.389390516,0.368485342,0.373529412,0.561764706,0.464705882
15,100,1,0.92,11,0.75,0.75,0.833333313,4.816055298,,0.389390516,0.368485342,0.373529412,0.561764706,0.464705882
16,100,1,0.91,10,0.75,0.5,0.5,4.410743713,,0.389390516,0.368485342,0.373529412,0.561764706,0.464705882
1,100,2,0.72,5,0.75,0.75,0.75,4.696846008,,0.389390516,0.368485342,0.373529412,0.561764706,0.464705882
2,100,2,0.72,6,0.75,0.5,0.5,5.412101746,,0.389390516,0.368485342,0.373529412,0.561764706,0.464705882
3,100,2,0.44,3,0.75,0.25,0.25,5.197525024,,0.389390516,0.368485342,0.373529412,0.561764706,0.464705882
4,100,2,0.97,13,0.75,0.75,0.75,5.102157593,,0.389390516,0.368485342,0.373529412,0.561764706,0.464705882
5,100,2,0.72,7,0.75,0.5,0.5,4.720687866,,0.389390516,0.368485342,0.373529412,0.561764706,0.464705882
6,100,2,0.98,16,0.75,0.75,0.75,5.412101746,,0.389390516,0.368485342,0.373529412,0.561764706,0.464705882
7,100,2,0.97,14,0.75,0.75,0.75,4.79221344,,0.389390516,0.368485342,0.373529412,0.561764706,0.464705882
8,100,2,0.77,8,0.75,0.5,0.5,4.506111145,,0.389390516,0.368485342,0.373529412,0.561764706,0.464705882
9,100,2,0.27,1,0.75,0.5,0.5,4.291534424,,0.389390516,0.368485342,0.373529412,0.561764706,0.464705882
10,100,2,0.95,12,0.75,0.833333313,0.833333313,4.386901855,,0.389390516,0.368485342,0.373529412,0.561764706,0.464705882
11,100,2,0.39,2,0.75,0.5,0.5,4.506111145,,0.389390516,0.368485342,0.373529412,0.561764706,0.464705882
12,100,2,0.67,4,0.75,0.25,0.375,5.483627319,,0.389390516,0.368485342,0.373529412,0.561764706,0.464705882
13,100,2,0.81,9,0.75,0.75,0.5,5.102157593,,0.389390516,0.368485342,0.373529412,0.561764706,0.464705882
14,100,2,0.97,15,0.75,0.833333313,0.833333313,17.42839813,,0.389390516,0.368485342,0.373529412,0.561764706,0.464705882
15,100,2,0.92,11,0.75,0.75,0.833333313,5.125999451,,0.389390516,0.368485342,0.373529412,0.561764706,0.464705882
16,100,2,0.91,10,0.75,0.5,0.5,4.291534424,,0.389390516,0.368485342,0.373529412,0.561764706,0.464705882
1,100,3,0.72,5,0.25,0.125,0.125,4.696846008,0.520095504,0.548374104,0.562733945,0.485294118,0.538235294,0.455882353
2,100,3,0.72,6,0.75,0.214285716,0.5,5.292892456,0.520095504,0.548374104,0.562733945,0.485294118,0.538235294,0.455882353
3,100,3,0.44,3,0.75,0.875,0.875,5.197525024,0.520095504,0.548374104,0.562733945,0.485294118,0.538235294,0.455882353
4,100,3,0.97,13,0.75,0.899999976,0.785714269,5.125999451,0.520095504,0.548374104,0.562733945,0.485294118,0.538235294,0.455882353
5,100,3,0.72,7,0.75,0.785714269,0.5,5.006790161,0.520095504,0.548374104,0.562733945,0.485294118,0.538235294,0.455882353
6,100,3,0.98,16,0.75,0.899999976,0.785714269,5.793571472,0.520095504,0.548374104,0.562733945,0.485294118,0.538235294,0.455882353
7,100,3,0.97,14,0.75,0.899999976,0.875,5.81741333,0.520095504,0.548374104,0.562733945,0.485294118,0.538235294,0.455882353
8,100,3,0.77,8,0.75,0.214285716,0.214285716,4.887580872,0.520095504,0.548374104,0.562733945,0.485294118,0.538235294,0.455882353
