seed,condition_base_rate,block,response_prob_A,actual_prop_A
101112,0.1,2,0.17421997302833142,0.04
101112,0.1,3,0.13631590046808614,0.0
101112,0.1,4,0.12112135590600466,0.04
101112,0.1,5,0.10317871832637132,0.08
101112,0.1,6,0.10947504528979664,0.04
101112,0.1,7,0.09667716890684602,0.24
101112,0.1,8,0.06478050912560178,0.16
101112,0.1,9,0.0845358034490744,0.12
101112,0.1,10,0.072304153130131,0.04
101112,0.3,1,0.3104915062426013,0.36
101112,0.3,2,0.44305049328013235,0.32
101112,0.3,3,0.38991757015737144,0.32
101112,0.3,4,0.3575829158440901,0.28
101112,0.3,5,0.3386270417905077,0.28
101112,0.3,6,0.38113440382393465,0.44
101112,0.3,7,0.311466267254762,0.44
101112,0.3,8,0.35051203123931274,0.24
101112,0.3,9,0.2739433090532695,0.16
101112,0.3,10,0.23299950923496981,0.44
101112,0.5,1,0.5348928848144865,0.56
101112,0.5,2,0.5874351413682656,0.64
101112,0.5,3,0.49532324370368686,0.52
101112,0.5,4,0.49913246024784175,0.6
101112,0.5,5,0.44234098759360857,0.4
101112,0.5,6,0.46243192600556166,0.6
101112,0.5,7,0.436881595563389,0.56
101112,0.5,8,0.5620645621789087,0.4
101112,0.5,9,0.6400642048417977,0.56
101112,0.5,10,0.5890302897895139,0.52
101112,0.7,1,0.682555131166893,0.72
101112,0.7,2,0.6755727684505652,0.68
101112,0.7,3,0.6641242147845593,0.76
101112,0.7,4,0.5580164636492679,0.64
101112,0.7,5,0.653758378513682,0.68
101112,0.7,6,0.600609599370824,0.6
101112,0.7,7,0.6269610291219252,0.56
101112,0.7,8,0.6616169906019113,0.76
101112,0.7,9,0.6884391165809108,0.68
101112,0.7,10,0.5741349937373463,0.6
101112,0.9,1,0.6822616035478337,0.76
101112,0.9,2,0.7272008828113661,0.96
101112,0.9,3,0.8242038568718073,0.88
101112,0.9,4,0.8213088095867687,0.88
101112,0.9,5,0.820056478310671,0.88
101112,0.9,6,0.8484600742854549,0.84
101112,0.9,7,0.8423286765166642,1.0
101112,0.9,8,0.8535938154605492,0.92
101112,0.9,9,0.8592551864348461,0.8
101112,0.9,10,0.9193634640061832,0.92
131415,0.1,1,0.09832770070864233,0.08
131415,0.1,2,0.28801198774164527,0.16
131415,0.1,3,0.18833718785578632,0.12
131415,0.1,4,0.12914396010793394,0.2
131415,0.1,5,0.1756619282306153,0.08
131415,0.1,6,0.18010571331649555,0.16
131415,0.1,7,0.12730729643469282,0.04
131415,0.1,8,0.16598144935988793,0.12
131415,0.1,9,0.10532024565235502,0.12
131415,0.1,10,0.12984749192988929,0.16
131415,0.3,1,0.4271210804926652,0.4
131415,0.3,2,0.4424061406480612,0.32
131415,0.3,3,0.3596403372426955,0.28
131415,0.3,4,0.38684014404936834,0.44
131415,0.3,5,0.24245187325020046,0.12
131415,0.3,6,0.2781748009149356,0.28
131415,0.3,7,0.2358455868119438,0.28
131415,0.3,8,0.1869780791139547,0.44
131415,0.3,9,0.2227563778362653,0.28
131415,0.3,10,0.14059986997675739,0.4
131415,0.5,1,0.3785693532325516,0.36
131415,0.5,2,0.38579958162301425,0.48
131415,0.5,3,0.4052044215987544,0.52
131415,0.5,4,0.48254394447273524,0.6
131415,0.5,5,0.4731118142088335,0.64
131415,0.5,6,0.5719160688411101,0.48
131415,0.5,7,0.5058358089707277,0.48
131415,0.5,8,0.5156709159225504,0.48
131415,0.5,9,0.5064522715709314,0.48
131415,0.5,10,0.5008503439240282,0.56
131415,0.7,1,0.47080292596389234,0.64
131415,0.7,2,0.5373145755816828,0.64
131415,0.7,3,0.618208830604833,0.84
131415,0.7,4,0.6639121493193549,0.64
131415,0.7,5,0.7076091009843575,0.64
131415,0.7,6,0.5979346967458182,0.72
131415,0.7,7,0.7340605517659706,0.76
131415,0.7,8,0.6362356507334378,0.64
131415,0.7,9,0.7197624850512523,0.84
131415,0.7,10,0.7208522174098135,0.8
131415,0.9,1,0.9127508313786514,0.96
131415,0.9,2,0.8275267886900894,1.0
131415,0.9,3,0.8770210485085213,0.96
131415,0.9,4,0.8816041055208427,0.96
131415,0.9,5,0.9142810356393076,0.92
131415,0.9,6,0.8907737629509447,0.8
131415,0.9,7,0.9011779044822572,0.92
131415,0.9,8,0.9067445659014024,0.88
131415,0.9,9,0.922964916987416,0.92
131415,0.9,10,0.9313343322357085,0.92
