seed,label_rate,distortion,true_category,prob_A,prob_B,accuracy,epoch
12376,0.0,Low,B,0.5,0.5,0,4
12376,0.0,High,B,0.5,0.5,0,4
12407,1.0,Prototype,A,0.8124648332595825,0.1875351518392563,1,1
12407,1.0,Low,A,0.7563807368278503,0.24361929297447205,1,1
12407,1.0,High,A,0.9545454382896423,0.045454561710357666,1,1
12407,1.0,Prototype,B,0.1075124740600586,0.8924874663352966,1,1
12407,1.0,Low,B,0.13349969685077667,0.8665003180503845,1,1
12407,1.0,High,B,0.115299753844738,0.8847002387046814,1,1
12407,1.0,Prototype,A,0.9104987978935242,0.08950122445821762,1,2
12407,1.0,Low,A,0.8375638723373413,0.1624360978603363,1,2
12407,1.0,High,A,0.976190447807312,0.0238095223903656,1,2
12407,1.0,Prototype,B,0.058513984084129333,0.9414860010147095,1,2
12407,1.0,Low,B,0.10905202478170395,0.8909479379653931,1,2
12407,1.0,High,B,0.09698068350553513,0.9030193090438843,1,2
12407,1.0,Prototype,A,0.9395621418952942,0.060437824577093124,1,3
12407,1.0,Low,A,0.878194272518158,0.12180574983358383,1,3
12407,1.0,High,A,0.9838709831237793,0.016129016876220703,1,3
12407,1.0,Prototype,B,0.05906984955072403,0.940930187702179,1,3
12407,1.0,Low,B,0.07079345732927322,0.9292065501213074,1,3
12407,1.0,High,B,0.09048035740852356,0.9095196723937988,1,3
12407,1.0,Prototype,A,0.9531586170196533,0.04684140533208847,1,4
12407,1.0,Low,A,0.9025545120239258,0.09744546562433243,1,4
12407,1.0,High,A,0.9878048896789551,0.012195110321044922,1,4
12407,1.0,Prototype,B,0.04568463936448097,0.9543153047561646,1,4
12407,1.0,Low,B,0.05504407733678818,0.9449558854103088,1,4
12407,1.0,High,B,0.087150938808918,0.9128490686416626,1,4
12407,0.0,Prototype,A,0.5,0.5,0,1
12407,0.0,Low,A,0.5,0.5,0,1
12407,0.0,High,A,0.5,0.5,0,1
12407,0.0,Prototype,B,0.5,0.5,0,1
12407,0.0,Low,B,0.5,0.5,0,1
12407,0.0,High,B,0.5,0.5,0,1
12407,0.0,Prototype,A,0.5,0.5,0,2
12407,0.0,Low,A,0.5,0.5,0,2
12407,0.0,High,A,0.5,0.5,0,2
12407,0.0,Prototype,B,0.5,0.5,0,2
12407,0.0,Low,B,0.5,0.5,0,2
12407,0.0,High,B,0.5,0.5,0,2
12407,0.0,Prototype,A,0.5,0.5,0,3
12407,0.0,Low,A,0.5,0.5,0,3
12407,0.0,High,A,0.5,0.5,0,3
12407,0.0,Prototype,B,0.5,0.5,0,3
12407,0.0,Low,B,0.5,0.5,0,3
12407,0.0,High,B,0.5,0.5,0,3
12407,0.0,Prototype,A,0.5,0.5,0,4
12407,0.0,Low,A,0.5,0.5,0,4
12407,0.0,High,A,0.5,0.5,0,4
12407,0.0,Prototype,B,0.5,0.5,0,4
12407,0.0,Low,B,0.5,0.5,0,4
12407,0.0,High,B,0.5,0.5,0,4
12438,1.0,Prototype,A,0.8724551200866699,0.12754489481449127,1,1
12438,1.0,Low,A,0.7779735922813416,0.22202636301517487,1,1
12438,1.0,High,A,0.8672241568565369,0.13277582824230194,1,1
12438,1.0,Prototype,B,0.13780181109905243,0.8621981739997864,1,1
12438,1.0,Low,B,0.1111036092042923,0.8888964056968689,1,1
12438,1.0,High,B,0.498302698135376,0.501697301864624,1,1
12438,1.0,Prototype,A,0.9268085360527039,0.07319135218858719,1,2
12438,1.0,Low,A,0.8551264405250549,0.14487352967262268,1,2
12438,1.0,High,A,0.8847121596336365,0.11528782546520233,1,2
12438,1.0,Prototype,B,0.13994242250919342,0.860057532787323,1,2
12438,1.0,Low,B,0.055343784391880035,0.9446561932563782,1,2
12438,1.0,High,B,0.49822187423706055,0.5017781257629395,1,2
12438,1.0,Prototype,A,0.948671281337738,0.05132869631052017,1,3
12438,1.0,Low,A,0.8923265337944031,0.10767342150211334,1,3
12438,1.0,High,A,0.8909176588058472,0.10908232629299164,1,3
12438,1.0,Prototype,B,0.10418593883514404,0.895814061164856,1,3
12438,1.0,Low,B,0.03831692785024643,0.9616830945014954,1,3
12438,1.0,High,B,0.49819326400756836,0.5018067955970764,1,3
12438,1.0,Prototype,A,0.961447536945343,0.038552459329366684,1,4
12438,1.0,Low,A,0.9561319351196289,0.0438680462539196,1,4
12438,1.0,High,A,0.8940991759300232,0.1059008464217186,1,4
12438,1.0,Prototype,B,0.08302225917577744,0.9169777035713196,1,4
12438,1.0,Low,B,0.02930363453924656,0.9706963300704956,1,4
12438,1.0,High,B,0.49817854166030884,0.5018214583396912,1,4
12438,0.0,Prototype,A,0.5,0.5,0,1
12438,0.0,Low,A,0.5,0.5,0,1
12438,0.0,High,A,0.5,0.5,0,1
12438,0.0,Prototype,B,0.5,0.5,0,1
12438,0.0,Low,B,0.5,0.5,0,1
12438,0.0,High,B,0.5,0.5,0,1
12438,0.0,Prototype,A,0.5,0.5,0,2
12438,0.0,Low,A,0.5,0.5,0,2
12438,0.0,High,A,0.5,0.5,0,2
12438,0.0,Prototype,B,0.5,0.5,0,2
12438,0.0,Low,B,0.5,0.5,0,2
12438,0.0,High,B,0.5,0.5,0,2
12438,0.0,Prototype,A,0.5,0.5,0,3
12438,0.0,Low,A,0.5,0.5,0,3
12438,0.0,High,A,0.5,0.5,0,3
12438,0.0,Prototype,B,0.5,0.5,0,3
12438,0.0,Low,B,0.5,0.5,0,3
12438,0.0,High,B,0.5,0.5,0,3
12438,0.0,Prototype,A,0.5,0.5,0,4
12438,0.0,Low,A,0.5,0.5,0,4
12438,0.0,High,A,0.5,0.5,0,4
12438,0.0,Prototype,B,0.5,0.5,0,4
12438,0.0,Low,B,0.5,0.5,0,4
12438,0.0,High,B,0.5,0.5,0,4
12469,1.0,Prototype,A,0.922218918800354,0.07778109610080719,1,1
12469,1.0,Low,A,0.9179401397705078,0.08205985277891159,1,1
12469,1.0,High,A,0.9122546315193176,0.08774536848068237,1,1
12469,1.0,Prototype,B,0.21685640513896942,0.7831435799598694,1,1
12469,1.0,Low,B,0.12010648846626282,0.8798936009407043,1,1
12469,1.0,High,B,0.08960942924022675,0.9103905558586121,1,1
12469,1.0,Prototype,A,0.9294775128364563,0.0705224797129631,1,2
12469,1.0,Low,A,0.9383637309074402,0.06163621321320534,1,2
12469,1.0,High,A,0.9318857789039612,0.06811416894197464,1,2
12469,1.0,Prototype,B,0.0526605024933815,0.9473395347595215,1,2
12469,1.0,Low,B,0.06013024225831032,0.93986976146698,1,2
12469,1.0,High,B,0.07006701081991196,0.9299330115318298,1,2
12469,1.0,Prototype,A,0.9504363536834717,0.04956365376710892,1,3
12469,1.0,Low,A,0.9570072293281555,0.04299275577068329,1,3
12469,1.0,High,A,0.9388517737388611,0.0611482672393322,1,3
12469,1.0,Prototype,B,0.059192072600126266,0.9408078789710999,1,3
12469,1.0,Low,B,0.06397368013858795,0.9360262751579285,1,3
12469,1.0,High,B,0.06313261389732361,0.9368674159049988,1,3
12469,1.0,Prototype,A,0.961783766746521,0.03821616992354393,1,4
12469,1.0,Low,A,0.9669853448867798,0.033014655113220215,1,4
12469,1.0,High,A,0.942416250705719,0.057583730667829514,1,4
12469,1.0,Prototype,B,0.0459003672003746,0.9540996551513672,1,4
