subject,stimulus_id,error_count,cat
28,Stim7,0,A
28,Stim15,1,A
28,Stim13,1,A
28,Stim5,1,A
28,Stim12,0,B
28,Stim2,2,B
28,Stim14,1,B
28,Stim10,1,B
29,Stim4,1,A
29,Stim7,1,A
29,Stim15,0,A
29,Stim13,1,A
29,Stim5,1,A
29,Stim12,1,B
29,Stim2,2,B
29,Stim14,0,B
29,Stim10,0,B
30,Stim4,1,A
30,Stim7,0,A
30,Stim15,1,A
30,Stim13,0,A
30,Stim5,0,A
30,Stim12,2,B
30,Stim2,1,B
30,Stim14,1,B
30,Stim10,0,B
31,Stim4,0,A
31,Stim7,0,A
31,Stim15,0,A
31,Stim13,1,A
31,Stim5,0,A
31,Stim12,1,B
31,Stim2,2,B
31,Stim14,1,B
31,Stim10,1,B
