seed,epoch,block,stimulus,category,distance,pred_A,pred_B
1,1,9,1,A,0,0.8979081511497498,0.10209178924560547
1,1,9,2,A,1,0.8765583634376526,0.1234416589140892
1,1,9,3,A,2,0.8240526914596558,0.1759473979473114
1,1,9,4,A,3,0.8213733434677124,0.17862682044506073
1,1,9,5,A,4,0.13231895864009857,0.867681086063385
1,1,9,6,A,5,0.12468425184488297,0.8753157258033752
1,1,9,7,A,6,0.1030675396323204,0.8969323635101318
1,1,9,8,B,0,0.1030675396323204,0.8969323635101318
1,1,9,9,B,1,0.11566580086946487,0.8843342065811157
1,1,9,10,B,2,0.16900718212127686,0.8309928774833679
1,1,9,11,B,3,0.17763350903987885,0.8223665356636047
1,1,9,12,B,4,0.8603400588035583,0.13966004550457
1,1,9,13,B,5,0.8853670954704285,0.1146329790353775
1,1,9,14,B,6,0.8979081511497498,0.10209178924560547
1,1,10,1,A,0,0.8988630175590515,0.10113699734210968
1,1,10,2,A,1,0.8791300058364868,0.12087003141641617
1,1,10,3,A,2,0.8269504308700562,0.173049658536911
1,1,10,4,A,3,0.8239315748214722,0.17606830596923828
1,1,10,5,A,4,0.13010157644748688,0.8698984384536743
1,1,10,6,A,5,0.12210013717412949,0.8778998255729675
1,1,10,7,A,6,0.10211386531591415,0.8978861570358276
1,1,10,8,B,0,0.10211386531591415,0.8978861570358276
1,1,10,9,B,1,0.11300984025001526,0.8869901895523071
1,1,10,10,B,2,0.1703692078590393,0.8296307921409607
1,1,10,11,B,3,0.17463789880275726,0.8253621459007263
1,1,10,12,B,4,0.8622824549674988,0.13771755993366241
1,1,10,13,B,5,0.8883151412010193,0.11168491095304489
1,1,10,14,B,6,0.8988630175590515,0.10113699734210968
1,2,1,1,A,0,0.8124074935913086,0.18759247660636902
1,2,1,2,A,1,0.8059914112091064,0.19400867819786072
1,2,1,3,A,2,0.7874528169631958,0.21254724264144897
1,2,1,4,A,3,0.7441309094429016,0.25586915016174316
1,2,1,5,A,4,0.4777147173881531,0.5222854018211365
1,2,1,6,A,5,0.19764141738414764,0.8023585677146912
1,2,1,7,A,6,0.1833813339471817,0.8166186809539795
1,2,1,8,B,0,0.1833813339471817,0.8166186809539795
1,2,1,9,B,1,0.19248756766319275,0.8075123429298401
1,2,1,10,B,2,0.20779068768024445,0.792209267616272
1,2,1,11,B,3,0.26877230405807495,0.7312276363372803
1,2,1,12,B,4,0.584311842918396,0.41568824648857117
1,2,1,13,B,5,0.79951012134552,0.20048993825912476
1,2,1,14,B,6,0.8124074935913086,0.18759247660636902
1,2,2,1,A,0,0.8283922076225281,0.17160798609256744
1,2,2,2,A,1,0.8202945590019226,0.17970548570156097
1,2,2,3,A,2,0.8292210698127747,0.17077887058258057
1,2,2,4,A,3,0.8454375267028809,0.1545623540878296
1,2,2,5,A,4,0.2122780978679657,0.7877219319343567
1,2,2,6,A,5,0.18323060870170593,0.8167693018913269
1,2,2,7,A,6,0.17370960116386414,0.8262906074523926
1,2,2,8,B,0,0.17370960116386414,0.8262906074523926
1,2,2,9,B,1,0.17808519303798676,0.8219148516654968
1,2,2,10,B,2,0.17190811038017273,0.8280918002128601
1,2,2,11,B,3,0.16547518968582153,0.8345247507095337
1,2,2,12,B,4,0.7927961945533752,0.20720386505126953
1,2,2,13,B,5,0.8198866844177246,0.18011324107646942
1,2,2,14,B,6,0.8283922076225281,0.17160798609256744
1,2,3,1,A,0,0.8608498573303223,0.13915018737316132
1,2,3,2,A,1,0.8105189204216003,0.18948112428188324
1,2,3,3,A,2,0.809877872467041,0.19012214243412018
1,2,3,4,A,3,0.8117817640304565,0.1882181614637375
1,2,3,5,A,4,0.1613282859325409,0.8386717438697815
1,2,3,6,A,5,0.17819951474666595,0.8218005299568176
1,2,3,7,A,6,0.13998451828956604,0.8600155115127563
1,2,3,8,B,0,0.13998451828956604,0.8600155115127563
1,2,3,9,B,1,0.17252154648303986,0.8274785280227661
1,2,3,10,B,2,0.17744484543800354,0.8225551247596741
1,2,3,11,B,3,0.18651947379112244,0.8134804964065552
1,2,3,12,B,4,0.8361748456954956,0.16382518410682678
1,2,3,13,B,5,0.819791853427887,0.1802082359790802
1,2,3,14,B,6,0.8608498573303223,0.13915018737316132
1,2,4,1,A,0,0.881552517414093,0.11844751238822937
1,2,4,2,A,1,0.8171026706695557,0.18289726972579956
1,2,4,3,A,2,0.812313437461853,0.18768654763698578
1,2,4,4,A,3,0.8105834722518921,0.18941642343997955
1,2,4,5,A,4,0.1618962287902832,0.8381038308143616
1,2,4,6,A,5,0.17555059492588043,0.8244494795799255
1,2,4,7,A,6,0.11171399056911469,0.8882860541343689
1,2,4,8,B,0,0.11171399056911469,0.8882860541343689
1,2,4,9,B,1,0.1700584590435028,0.8299416303634644
1,2,4,10,B,2,0.17542031407356262,0.8245795965194702
1,2,4,11,B,3,0.1870969533920288,0.8129030466079712
1,2,4,12,B,4,0.8293178081512451,0.17068229615688324
1,2,4,13,B,5,0.8257735371589661,0.17422641813755035
1,2,4,14,B,6,0.881552517414093,0.11844751238822937
1,2,5,1,A,0,0.8887521624565125,0.1112477108836174
1,2,5,2,A,1,0.8237823247909546,0.17621776461601257
1,2,5,3,A,2,0.8169069886207581,0.18309301137924194
1,2,5,4,A,3,0.80996173620224,0.19003818929195404
1,2,5,5,A,4,0.16661334037780762,0.8333866596221924
1,2,5,6,A,5,0.16705679893493652,0.8329432010650635
1,2,5,7,A,6,0.10334315896034241,0.89665687084198
1,2,5,8,B,0,0.10334315896034241,0.89665687084198
1,2,5,9,B,1,0.16050301492214203,0.8394970297813416
1,2,5,10,B,2,0.17789314687252045,0.8221068382263184
1,2,5,11,B,3,0.18900318443775177,0.8109967708587646
1,2,5,12,B,4,0.8336454033851624,0.16635465621948242
1,2,5,13,B,5,0.834049642086029,0.16595043241977692
1,2,5,14,B,6,0.8887521624565125,0.1112477108836174
1,2,6,1,A,0,0.8926254510879517,0.10737457126379013
1,2,6,2,A,1,0.8311949372291565,0.1688050925731659
1,2,6,3,A,2,0.8179125189781189,0.18208734691143036
1,2,6,4,A,3,0.8130193948745728,0.18698064982891083
1,2,6,5,A,4,0.1397954374551773,0.8602045178413391
1,2,6,6,A,5,0.13960959017276764,0.8603903651237488
1,2,6,7,A,6,0.09900972992181778,0.9009903073310852
1,2,6,8,B,0,0.09900972992181778,0.9009903073310852
1,2,6,9,B,1,0.14078111946582794,0.8592188358306885
1,2,6,10,B,2,0.17279864847660065,0.8272013068199158
1,2,6,11,B,3,0.1853083074092865,0.8146916627883911
1,2,6,12,B,4,0.8604316711425781,0.13956834375858307
1,2,6,13,B,5,0.8613168001174927,0.13868318498134613
1,2,6,14,B,6,0.8926254510879517,0.10737457126379013
1,2,7,1,A,0,0.8864027261734009,0.11359725147485733
1,2,7,2,A,1,0.8595553040504456,0.14044471085071564
1,2,7,3,A,2,0.8157624006271362,0.184237539768219
1,2,7,4,A,3,0.8153008222579956,0.18469923734664917
1,2,7,5,A,4,0.12047208845615387,0.8795279264450073
1,2,7,6,A,5,0.11487841606140137,0.8851215839385986
1,2,7,7,A,6,0.09631546586751938,0.9036845564842224
1,2,7,8,B,0,0.09631546586751938,0.9036845564842224
1,2,7,9,B,1,0.13253113627433777,0.8674687743186951
1,2,7,10,B,2,0.17558124661445618,0.8244187831878662
1,2,7,11,B,3,0.1822514832019806,0.8177486062049866
1,2,7,12,B,4,0.879729688167572,0.12027032673358917
1,2,7,13,B,5,0.8809605836868286,0.11903941631317139
1,2,7,14,B,6,0.8864027261734009,0.11359725147485733
1,2,8,1,A,0,0.8880496025085449,0.1119503527879715
1,2,8,2,A,1,0.8844672441482544,0.1155327707529068
1,2,8,3,A,2,0.8159077763557434,0.18409223854541779
1,2,8,4,A,3,0.8164724111557007,0.18352767825126648
1,2,8,5,A,4,0.11221874505281448,0.8877812623977661
1,2,8,6,A,5,0.10416994988918304,0.8958300352096558
1,2,8,7,A,6,0.09446662664413452,0.9055334329605103
1,2,8,8,B,0,0.09446662664413452,0.9055334329605103
1,2,8,9,B,1,0.12771371006965637,0.8722863793373108
1,2,8,10,B,2,0.18022222816944122,0.8197780251502991
1,2,8,11,B,3,0.18296128511428833,0.8170386552810669
1,2,8,12,B,4,0.8879798054695129,0.11202022433280945
1,2,8,13,B,5,0.8893511891365051,0.11064890027046204
1,2,8,14,B,6,0.8880496025085449,0.1119503527879715
1,2,9,1,A,0,0.8892609477043152,0.1107390820980072
1,2,9,2,A,1,0.9080662131309509,0.09193378686904907
1,2,9,3,A,2,0.8213486075401306,0.17865139245986938
1,2,9,4,A,3,0.821136474609375,0.17886359989643097
1,2,9,5,A,4,0.10732411593198776,0.8926758766174316
1,2,9,6,A,5,0.09823530167341232,0.9017646908760071
1,2,9,7,A,6,0.09311528503894806,0.9068847298622131
1,2,9,8,B,0,0.09311528503894806,0.9068847298622131
1,2,9,9,B,1,0.12449374794960022,0.8755062222480774
1,2,9,10,B,2,0.17327389121055603,0.8267261385917664
1,2,9,11,B,3,0.17771463096141815,0.8222853541374207
1,2,9,12,B,4,0.8928759098052979,0.10712417960166931
1,2,9,13,B,5,0.8943271636962891,0.10567280650138855
1,2,9,14,B,6,0.8892609477043152,0.1107390820980072
1,2,10,1,A,0,0.8901904821395874,0.10980948805809021
1,2,10,2,A,1,0.916869044303894,0.0831308588385582
1,2,10,3,A,2,0.8233292102813721,0.17667081952095032
1,2,10,4,A,3,0.8237532377243042,0.17624685168266296
1,2,10,5,A,4,0.10401257127523422,0.895987331867218
1,2,10,6,A,5,0.09434488415718079,0.9056550860404968
1,2,10,7,A,6,0.09208279103040695,0.9079171419143677
1,2,10,8,B,0,0.09208279103040695,0.9079171419143677
1,2,10,9,B,1,0.12216982990503311,0.8778301477432251
1,2,10,10,B,2,0.17008046805858612,0.8299193978309631
1,2,10,11,B,3,0.17470960319042206,0.8252903819084167
1,2,10,12,B,4,0.8961900472640991,0.10380993038415909
1,2,10,13,B,5,0.897693932056427,0.1023060530424118
1,2,10,14,B,6,0.8901904821395874,0.10980948805809021
1,3,1,1,A,0,0.8126204013824463,0.1873796135187149
1,3,1,2,A,1,0.815563440322876,0.1844366043806076
1,3,1,3,A,2,0.7927623391151428,0.20723766088485718
1,3,1,4,A,3,0.7685142159461975,0.23148570954799652
1,3,1,5,A,4,0.2986484169960022,0.7013516426086426
1,3,1,6,A,5,0.19302310049533844,0.8069769144058228
1,3,1,7,A,6,0.18534652888774872,0.8146535754203796
1,3,1,8,B,0,0.18534652888774872,0.8146535754203796
1,3,1,9,B,1,0.19251319766044617,0.8074868321418762
1,3,1,10,B,2,0.2082359939813614,0.7917640209197998
1,3,1,11,B,3,0.24012704193592072,0.7598729729652405
1,3,1,12,B,4,0.6230719685554504,0.3769282102584839
1,3,1,13,B,5,0.8078709840774536,0.1921292394399643
1,3,1,14,B,6,0.8126204013824463,0.1873796135187149
1,3,2,1,A,0,0.8255756497383118,0.17442438006401062
1,3,2,2,A,1,0.8235732913017273,0.17642684280872345
1,3,2,3,A,2,0.8233482241630554,0.17665168642997742
1,3,2,4,A,3,0.8466464877128601,0.15335360169410706
1,3,2,5,A,4,0.19469332695007324,0.805306613445282
1,3,2,6,A,5,0.17280195653438568,0.8271982073783875
1,3,2,7,A,6,0.17275862395763397,0.8272414803504944
1,3,2,8,B,0,0.17275862395763397,0.8272414803504944
1,3,2,9,B,1,0.1804341822862625,0.8195658326148987
1,3,2,10,B,2,0.1692613810300827,0.8307386636734009
1,3,2,11,B,3,0.20781101286411285,0.7921889424324036
1,3,2,12,B,4,0.8147200345993042,0.1852799952030182
1,3,2,13,B,5,0.8179242014884949,0.18207594752311707
1,3,2,14,B,6,0.8255756497383118,0.17442438006401062
1,3,3,1,A,0,0.8565391302108765,0.14346098899841309
1,3,3,2,A,1,0.8267068266868591,0.17329317331314087
1,3,3,3,A,2,0.8296418786048889,0.17035818099975586
1,3,3,4,A,3,0.8121983408927917,0.18780162930488586
1,3,3,5,A,4,0.15549468994140625,0.8445053100585938
1,3,3,6,A,5,0.17840099334716797,0.8215990662574768
1,3,3,7,A,6,0.14222563803195953,0.8577743768692017
1,3,3,8,B,0,0.14222563803195953,0.8577743768692017
1,3,3,9,B,1,0.17087484896183014,0.8291251063346863
1,3,3,10,B,2,0.17496399581432343,0.8250359296798706
1,3,3,11,B,3,0.18894296884536743,0.8110570311546326
1,3,3,12,B,4,0.8397559523582458,0.1602439433336258
1,3,3,13,B,5,0.8209115862846375,0.17908848822116852
1,3,3,14,B,6,0.8565391302108765,0.14346098899841309
1,3,4,1,A,0,0.8881306648254395,0.11186932027339935
1,3,4,2,A,1,0.8291459679603577,0.1708540916442871
1,3,4,3,A,2,0.824378490447998,0.1756216138601303
1,3,4,4,A,3,0.8073644042015076,0.1926356852054596
1,3,4,5,A,4,0.16151711344718933,0.8384829759597778
1,3,4,6,A,5,0.17471477389335632,0.8252852559089661
1,3,4,7,A,6,0.08609754592180252,0.9139025211334229
1,3,4,8,B,0,0.08609754592180252,0.9139025211334229
1,3,4,9,B,1,0.17124666273593903,0.8287533521652222
1,3,4,10,B,2,0.16754315793514252,0.8324568271636963
1,3,4,11,B,3,0.19934622943401337,0.8006537556648254
1,3,4,12,B,4,0.833678662776947,0.16632132232189178
1,3,4,13,B,5,0.8253671526908875,0.17463281750679016
1,3,4,14,B,6,0.8881306648254395,0.11186932027339935
1,3,5,1,A,0,0.8965149521827698,0.10348506271839142
1,3,5,2,A,1,0.8394222855567932,0.1605776995420456
1,3,5,3,A,2,0.8304669857025146,0.16953296959400177
1,3,5,4,A,3,0.8095802664756775,0.19041986763477325
1,3,5,5,A,4,0.1667298823595047,0.8332701325416565
1,3,5,6,A,5,0.16636231541633606,0.8336376547813416
1,3,5,7,A,6,0.053498752415180206,0.9465013146400452
1,3,5,8,B,0,0.053498752415180206,0.9465013146400452
1,3,5,9,B,1,0.167104572057724,0.8328953981399536
1,3,5,10,B,2,0.16728423535823822,0.8327158093452454
1,3,5,11,B,3,0.19757473468780518,0.8024253845214844
1,3,5,12,B,4,0.8299607038497925,0.1700393110513687
1,3,5,13,B,5,0.8302567005157471,0.16974328458309174
1,3,5,14,B,6,0.8965149521827698,0.10348506271839142
1,3,6,1,A,0,0.9018532037734985,0.09814679622650146
1,3,6,2,A,1,0.8576905727386475,0.14230948686599731
1,3,6,3,A,2,0.8356396555900574,0.16436022520065308
1,3,6,4,A,3,0.8120939135551453,0.187905952334404
1,3,6,5,A,4,0.1430998295545578,0.856900155544281
1,3,6,6,A,5,0.1423097401857376,0.8576902747154236
1,3,6,7,A,6,0.04432392120361328,0.9556760191917419
1,3,6,8,B,0,0.04432392120361328,0.9556760191917419
1,3,6,9,B,1,0.14290183782577515,0.8570981621742249
1,3,6,10,B,2,0.17306187748908997,0.8269380331039429
1,3,6,11,B,3,0.19355815649032593,0.8064418435096741
1,3,6,12,B,4,0.8568146228790283,0.14318546652793884
1,3,6,13,B,5,0.8575977683067322,0.14240232110023499
1,3,6,14,B,6,0.9018532037734985,0.09814679622650146
1,3,7,1,A,0,0.9045423865318298,0.0954575166106224
1,3,7,2,A,1,0.8746458888053894,0.12535418570041656
1,3,7,3,A,2,0.8372875452041626,0.1627124547958374
1,3,7,4,A,3,0.81557297706604,0.1844269335269928
1,3,7,5,A,4,0.12646646797657013,0.8735335469245911
1,3,7,6,A,5,0.12537848949432373,0.874621570110321
1,3,7,7,A,6,0.03941132128238678,0.9605886340141296
1,3,7,8,B,0,0.03941132128238678,0.9605886340141296
1,3,7,9,B,1,0.12587624788284302,0.8741238713264465
1,3,7,10,B,2,0.1782226860523224,0.82177734375
1,3,7,11,B,3,0.18579243123531342,0.8142076730728149
1,3,7,12,B,4,0.8793479800224304,0.12065201997756958
1,3,7,13,B,5,0.880543053150177,0.11945696175098419
1,3,7,14,B,6,0.9045423865318298,0.0954575166106224
1,3,8,1,A,0,0.9063894748687744,0.09361042827367783
1,3,8,2,A,1,0.8814476728439331,0.1185523271560669
1,3,8,3,A,2,0.8354806303977966,0.16451945900917053
1,3,8,4,A,3,0.8156216144561768,0.1843784898519516
1,3,8,5,A,4,0.11979754269123077,0.8802024722099304
1,3,8,6,A,5,0.11859595775604248,0.8814041018486023
1,3,8,7,A,6,0.03628303110599518,0.9637168645858765
1,3,8,8,B,0,0.03628303110599518,0.9637168645858765
1,3,8,9,B,1,0.11905834823846817,0.88094162940979
1,3,8,10,B,2,0.1762993484735489,0.8237007260322571
1,3,8,11,B,3,0.18708749115467072,0.8129125833511353
1,3,8,12,B,4,0.8880459666252136,0.11195403337478638
1,3,8,13,B,5,0.8893865346908569,0.11061344295740128
1,3,8,14,B,6,0.9063894748687744,0.09361042827367783
1,3,9,1,A,0,0.9077404737472534,0.09225945919752121
1,3,9,2,A,1,0.8856852650642395,0.1143147200345993
1,3,9,3,A,2,0.8336906433105469,0.16630925238132477
1,3,9,4,A,3,0.8193711042404175,0.18062898516654968
1,3,9,5,A,4,0.11564397066831589,0.8843560814857483
1,3,9,6,A,5,0.11437354981899261,0.8856264352798462
1,3,9,7,A,6,0.034097496420145035,0.9659024477005005
1,3,9,8,B,0,0.034097496420145035,0.9659024477005005
1,3,9,9,B,1,0.11481499671936035,0.8851850032806396
1,3,9,10,B,2,0.1727694869041443,0.8272306323051453
1,3,9,11,B,3,0.18471109867095947,0.8152889609336853
1,3,9,12,B,4,0.8929347395896912,0.10706537216901779
1,3,9,13,B,5,0.894358217716217,0.10564187169075012
1,3,9,14,B,6,0.9077404737472534,0.09225945919752121
1,3,10,1,A,0,0.9087733030319214,0.0912267342209816
1,3,10,2,A,1,0.8886247277259827,0.11137530207633972
1,3,10,3,A,2,0.8322115540504456,0.16778843104839325
1,3,10,4,A,3,0.8231627941131592,0.17683732509613037
1,3,10,5,A,4,0.11230811476707458,0.8876919150352478
1,3,10,6,A,5,0.11098938435316086,0.8890106081962585
1,3,10,7,A,6,0.032477568835020065,0.967522382736206
1,3,10,8,B,0,0.032477568835020065,0.967522382736206
1,3,10,9,B,1,0.11187390983104706,0.8881260752677917
1,3,10,10,B,2,0.16978704929351807,0.8302128911018372
1,3,10,11,B,3,0.18162637948989868,0.8183736801147461
1,3,10,12,B,4,0.8962430953979492,0.10375695675611496
1,3,10,13,B,5,0.8977214694023132,0.10227850824594498
1,3,10,14,B,6,0.9087733030319214,0.0912267342209816
1,4,1,1,A,0,0.8077864050865173,0.19221344590187073
1,4,1,2,A,1,0.7962602972984314,0.20373965799808502
1,4,1,3,A,2,0.7833330035209656,0.2166670858860016
1,4,1,4,A,3,0.7360058426856995,0.2639943063259125
1,4,1,5,A,4,0.4578675925731659,0.5421323180198669
1,4,1,6,A,5,0.1960374414920807,0.8039625883102417
1,4,1,7,A,6,0.18814805150032043,0.8118520379066467
1,4,1,8,B,0,0.18814805150032043,0.8118520379066467
1,4,1,9,B,1,0.18974167108535767,0.8102583289146423
1,4,1,10,B,2,0.21362008154392242,0.7863799333572388
1,4,1,11,B,3,0.24757833778858185,0.7524216771125793
1,4,1,12,B,4,0.5874606370925903,0.41253939270973206
1,4,1,13,B,5,0.7950186729431152,0.20498132705688477
1,4,1,14,B,6,0.8077864050865173,0.19221344590187073
1,4,2,1,A,0,0.8253775835037231,0.1746225357055664
1,4,2,2,A,1,0.8255694508552551,0.17443065345287323
1,4,2,3,A,2,0.8320308923721313,0.16796910762786865
1,4,2,4,A,3,0.8371077179908752,0.16289222240447998
1,4,2,5,A,4,0.19120657444000244,0.8087936043739319
1,4,2,6,A,5,0.18388856947422028,0.8161113858222961
1,4,2,7,A,6,0.17394733428955078,0.8260527849197388
1,4,2,8,B,0,0.17394733428955078,0.8260527849197388
1,4,2,9,B,1,0.18377208709716797,0.816227912902832
1,4,2,10,B,2,0.1611541211605072,0.8388459086418152
1,4,2,11,B,3,0.16393868625164032,0.8360612988471985
1,4,2,12,B,4,0.808442234992981,0.19155775010585785
1,4,2,13,B,5,0.8159997463226318,0.18400034308433533
1,4,2,14,B,6,0.8253775835037231,0.1746225357055664
1,4,3,1,A,0,0.8609462380409241,0.1390538513660431
1,4,3,2,A,1,0.8274351358413696,0.17256507277488708
1,4,3,3,A,2,0.8244699835777283,0.17553001642227173
1,4,3,4,A,3,0.8195044994354248,0.18049538135528564
1,4,3,5,A,4,0.1619015485048294,0.8380984663963318
1,4,3,6,A,5,0.18022309243679047,0.8197769522666931
1,4,3,7,A,6,0.14339740574359894,0.8566026091575623
1,4,3,8,B,0,0.14339740574359894,0.8566026091575623
1,4,3,9,B,1,0.18030044436454773,0.8196995854377747
1,4,3,10,B,2,0.18415778875350952,0.8158423900604248
1,4,3,11,B,3,0.1877603828907013,0.8122396469116211
1,4,3,12,B,4,0.8408973217010498,0.15910272300243378
1,4,3,13,B,5,0.8208892345428467,0.17911078035831451
1,4,3,14,B,6,0.8609462380409241,0.1390538513660431
1,4,4,1,A,0,0.9029560089111328,0.09704401344060898
1,4,4,2,A,1,0.8265842199325562,0.17341576516628265
1,4,4,3,A,2,0.820554256439209,0.1794458031654358
1,4,4,4,A,3,0.8152143955230713,0.1847856193780899
