experiment,subject,stimulus_id,type,correct_cat,p_correct,choice,accuracy,p_A
Exp1,0,Stim14,New,B,0.6464477073338337,B,1,0.35355229266616633
Exp1,0,Stim8,New,B,0.6610577057310465,B,1,0.33894229426895356
Exp1,0,Stim7,Old,A,0.6110544458608612,A,1,0.6110544458608612
Exp1,0,Stim4,New,A,0.573305108430455,A,1,0.573305108430455
Exp1,0,Stim6,Old,A,0.7254576830764726,A,1,0.7254576830764726
Exp1,0,Stim10,Old,B,0.8235995746444247,B,1,0.17640042535557535
Exp1,0,Stim3,New,B,0.6610577057310465,B,1,0.33894229426895356
Exp1,0,Stim13,New,A,0.6021531689007332,A,1,0.6021531689007332
Exp1,0,Stim16,Old,B,0.7494910113476395,B,1,0.2505089886523605
Exp1,0,Stim15,Old,B,0.5358656034342819,B,1,0.46413439656571803
Exp1,0,Stim5,New,A,0.6021531689007332,A,1,0.6021531689007332
Exp1,0,Stim9,Old,A,0.5212807190795958,A,1,0.5212807190795958
Exp1,1,Stim13,New,A,0.5695062512314446,A,1,0.5695062512314446
Exp1,1,Stim6,Old,A,0.6488064374740575,A,1,0.6488064374740575
Exp1,1,Stim9,Old,A,0.4667777101463044,B,0,0.4667777101463044
Exp1,1,Stim5,New,A,0.5695062512314446,A,1,0.5695062512314446
Exp1,1,Stim15,Old,B,0.4262949227435815,A,0,0.5737050772564185
Exp1,1,Stim10,Old,B,0.6865126890212889,B,1,0.3134873109787111
Exp1,1,Stim7,Old,A,0.6183780042046108,A,1,0.6183780042046108
Exp1,1,Stim8,New,B,0.5483019122037216,B,1,0.45169808779627846
Exp1,1,Stim16,Old,B,0.6885895535221135,B,1,0.3114104464778865
Exp1,1,Stim3,New,B,0.5483019122037216,B,1,0.45169808779627846
Exp1,1,Stim4,New,A,0.6290515387975167,A,1,0.6290515387975167
Exp1,1,Stim14,New,B,0.5761440735438814,B,1,0.42385592645611864
Exp1,2,Stim7,Old,A,0.5939951617760002,A,1,0.5939951617760002
Exp1,2,Stim5,New,A,0.5481579829906629,A,1,0.5481579829906629
Exp1,2,Stim6,Old,A,0.6832049915553374,A,1,0.6832049915553374
Exp1,2,Stim4,New,A,0.5660843044956579,A,1,0.5660843044956579
Exp1,2,Stim16,Old,B,0.8105018369361987,B,1,0.18949816306380132
Exp1,2,Stim3,New,B,0.6349636122870435,B,1,0.3650363877129566
Exp1,2,Stim13,New,A,0.5481579829906629,A,1,0.5481579829906629
Exp1,2,Stim9,Old,A,0.4957626240911753,B,0,0.4957626240911753
Exp1,2,Stim8,New,B,0.6349636122870435,B,1,0.3650363877129566
Exp1,2,Stim14,New,B,0.6440430893194067,B,1,0.3559569106805933
Exp1,2,Stim15,Old,B,0.5567816797575739,B,1,0.44321832024242613
Exp1,2,Stim10,Old,B,0.7811856850125942,B,1,0.21881431498740578
Exp1,3,Stim14,New,B,0.666421085163712,B,1,0.33357891483628804
Exp1,3,Stim3,New,B,0.6639515686411008,B,1,0.3360484313588991
Exp1,3,Stim16,Old,B,0.7404810279007643,B,1,0.25951897209923563
Exp1,3,Stim13,New,A,0.5307579996837758,A,1,0.5307579996837758
Exp1,3,Stim10,Old,B,0.8058155997046332,B,1,0.19418440029536682
Exp1,3,Stim15,Old,B,0.5365377341270812,B,1,0.46346226587291883
Exp1,3,Stim8,New,B,0.6639515686411008,B,1,0.3360484313588991
Exp1,3,Stim5,New,A,0.5307579996837758,A,1,0.5307579996837758
Exp1,3,Stim7,Old,A,0.6224762677220297,A,1,0.6224762677220297
Exp1,3,Stim6,Old,A,0.6128442669410443,A,1,0.6128442669410443
Exp1,3,Stim4,New,A,0.5505414553105255,A,1,0.5505414553105255
Exp1,3,Stim9,Old,A,0.5076749094992999,A,1,0.5076749094992999
Exp1,4,Stim15,Old,B,0.4546140232390278,A,0,0.5453859767609722
Exp1,4,Stim4,New,A,0.7060246530633763,A,1,0.7060246530633763
Exp1,4,Stim13,New,A,0.6266658929903256,A,1,0.6266658929903256
Exp1,4,Stim7,Old,A,0.6847606464026893,A,1,0.6847606464026893
Exp1,4,Stim8,New,B,0.5031359990931459,B,1,0.4968640009068541
Exp1,4,Stim10,Old,B,0.6866952527039274,B,1,0.31330474729607255
Exp1,4,Stim14,New,B,0.5494281767718068,B,1,0.4505718232281933
Exp1,4,Stim16,Old,B,0.6197301971552933,B,1,0.3802698028447067
Exp1,4,Stim3,New,B,0.5031359990931459,B,1,0.4968640009068541
Exp1,4,Stim5,New,A,0.6266658929903256,A,1,0.6266658929903256
Exp1,4,Stim6,Old,A,0.6977520011667684,A,1,0.6977520011667684
Exp1,4,Stim9,Old,A,0.5569319811200046,A,1,0.5569319811200046
Exp1,5,Stim14,New,B,0.666421085163712,B,1,0.33357891483628804
Exp1,5,Stim15,Old,B,0.5365377341270812,B,1,0.46346226587291883
Exp1,5,Stim8,New,B,0.6563352682123671,B,1,0.34366473178763296
Exp1,5,Stim6,Old,A,0.648631664165222,A,1,0.648631664165222
Exp1,5,Stim7,Old,A,0.5936078614635608,A,1,0.5936078614635608
Exp1,5,Stim5,New,A,0.5328300342024823,A,1,0.5328300342024823
Exp1,5,Stim9,Old,A,0.5076980257372637,A,1,0.5076980257372637
Exp1,5,Stim4,New,A,0.5505414553105255,A,1,0.5505414553105255
Exp1,5,Stim10,Old,B,0.8053802531272475,B,1,0.19461974687275252
Exp1,5,Stim13,New,A,0.5328300342024823,A,1,0.5328300342024823
Exp1,5,Stim3,New,B,0.6563352682123671,B,1,0.34366473178763296
Exp1,5,Stim16,Old,B,0.7404810279007643,B,1,0.25951897209923563
Exp1,6,Stim8,New,B,0.6399326495365741,B,1,0.36006735046342586
Exp1,6,Stim6,Old,A,0.6366687803157008,A,1,0.6366687803157008
Exp1,6,Stim10,Old,B,0.7814766548534668,B,1,0.21852334514653318
Exp1,6,Stim14,New,B,0.6440430893194067,B,1,0.3559569106805933
Exp1,6,Stim16,Old,B,0.8105018369361987,B,1,0.18949816306380132
Exp1,6,Stim5,New,A,0.5450228823447038,A,1,0.5450228823447038
Exp1,6,Stim15,Old,B,0.5567816797575739,B,1,0.44321832024242613
Exp1,6,Stim4,New,A,0.5660843044956579,A,1,0.5660843044956579
Exp1,6,Stim13,New,A,0.5450228823447038,A,1,0.5450228823447038
Exp1,6,Stim9,Old,A,0.49577126933842675,B,0,0.49577126933842675
Exp1,6,Stim3,New,B,0.6399326495365741,B,1,0.36006735046342586
Exp1,6,Stim7,Old,A,0.6211382692385964,A,1,0.6211382692385964
Exp1,7,Stim6,Old,A,0.6461262442565318,A,1,0.6461262442565318
Exp1,7,Stim14,New,B,0.5315279856922346,B,1,0.46847201430776547
Exp1,7,Stim9,Old,A,0.6010279761495381,A,1,0.6010279761495381
Exp1,7,Stim15,Old,B,0.5677060235888696,B,1,0.4322939764111304
Exp1,7,Stim3,New,B,0.5544673147362961,B,1,0.44553268526370393
Exp1,7,Stim10,Old,B,0.6905323044739572,B,1,0.3094676955260428
Exp1,7,Stim16,Old,B,0.5875357248806115,B,1,0.4124642751193885
Exp1,7,Stim4,New,A,0.6077978684182018,A,1,0.6077978684182018
Exp1,7,Stim7,Old,A,0.5491356078734516,A,1,0.5491356078734516
Exp1,7,Stim5,New,A,0.619982920277983,A,1,0.619982920277983
Exp1,7,Stim13,New,A,0.619982920277983,A,1,0.619982920277983
Exp1,7,Stim8,New,B,0.5544673147362961,B,1,0.44553268526370393
Exp1,8,Stim4,New,A,0.6417884186014912,A,1,0.6417884186014912
Exp1,8,Stim5,New,A,0.6455072777263393,A,1,0.6455072777263393
Exp1,8,Stim7,Old,A,0.62285767290251,A,1,0.62285767290251
