experiment,subject,stimulus_id,error_count,cat
Exp1,28,Stim16,0,B
Exp1,29,Stim6,0,A
Exp1,29,Stim7,1,A
Exp1,29,Stim9,5,A
Exp1,29,Stim10,1,B
Exp1,29,Stim15,4,B
Exp1,29,Stim16,1,B
Exp1,30,Stim6,1,A
Exp1,30,Stim7,2,A
Exp1,30,Stim9,4,A
Exp1,30,Stim10,0,B
Exp1,30,Stim15,3,B
Exp1,30,Stim16,0,B
Exp1,31,Stim6,1,A
Exp1,31,Stim7,1,A
Exp1,31,Stim9,1,A
Exp1,31,Stim10,1,B
Exp1,31,Stim15,3,B
Exp1,31,Stim16,1,B
