stimulus,seed,iteration,predicted_prob_correct,reaction_time,correlation_prob,observed_prob
4,0,1,0.7476969,0.09179115295410156,0.7924103135370708,0.97
7,0,1,0.75125223,0.009059906005859375,0.7924103135370708,0.97
15,0,1,0.7499764,0.006198883056640625,0.7924103135370708,0.92
13,0,1,0.67813444,0.0059604644775390625,0.7924103135370708,0.81
5,0,1,0.67811924,0.0050067901611328125,0.7924103135370708,0.72
12,0,1,0.67752784,0.005245208740234375,0.7924103135370708,0.67
2,0,1,0.67757887,0.0050067901611328125,0.7924103135370708,0.72
14,0,1,0.7501335,0.0040531158447265625,0.7924103135370708,0.97
10,0,1,0.75000286,0.005245208740234375,0.7924103135370708,0.95
1,0,1,0.49347952,0.00476837158203125,0.7924103135370708,0.72
3,0,1,0.46117276,0.0050067901611328125,0.7924103135370708,0.44
6,0,1,0.7389227,0.0050067901611328125,0.7924103135370708,0.98
8,0,1,0.47998393,0.0050067901611328125,0.7924103135370708,0.77
9,0,1,0.44271642,0.0040531158447265625,0.7924103135370708,0.27
11,0,1,0.4764627,0.003814697265625,0.7924103135370708,0.39
16,0,1,0.54707724,0.0040531158447265625,0.7924103135370708,0.91
4,0,2,0.7476969,0.007152557373046875,0.7924103135370708,0.97
7,0,2,0.75125223,0.00476837158203125,0.7924103135370708,0.97
15,0,2,0.7499764,0.005245208740234375,0.7924103135370708,0.92
13,0,2,0.67813444,0.00476837158203125,0.7924103135370708,0.81
5,0,2,0.67811924,0.004291534423828125,0.7924103135370708,0.72
12,0,2,0.67752784,0.0040531158447265625,0.7924103135370708,0.67
2,0,2,0.67757887,0.004291534423828125,0.7924103135370708,0.72
14,0,2,0.7501335,0.00476837158203125,0.7924103135370708,0.97
10,0,2,0.75000286,0.009059906005859375,0.7924103135370708,0.95
1,0,2,0.49347952,0.005245208740234375,0.7924103135370708,0.72
3,0,2,0.46117276,0.00476837158203125,0.7924103135370708,0.44
6,0,2,0.7389227,0.005245208740234375,0.7924103135370708,0.98
8,0,2,0.47998393,0.00476837158203125,0.7924103135370708,0.77
