seed,pattern,p_terrigitis
0,0000,0.23020101911245877
0,0001,0.0674433342886435
0,0010,0.057295481481465016
0,0011,0.21156121870281602
0,0100,0.5590698117714379
0,0101,0.096547370348916
0,0110,0.6442530203237103
0,0111,0.9442228588296108
0,1000,0.8015398873713223
0,1001,0.3215857633966498
0,1010,0.10865325561823318
0,1011,0.3910893121867053
0,1100,0.9502475874270208
0,1101,0.7611723118208283
0,1110,0.792997727301269
0,1111,0.9668029941202776
1,0000,0.28699594407146545
1,0001,0.06351411803357884
1,0010,0.06890224401549488
1,0011,0.36623303417261166
1,0100,0.40724951311094626
1,0101,0.10375320952691516
1,0110,0.45311111578977226
1,0111,0.866128833430044
1,1000,0.9404189121766786
1,1001,0.4971159450613197
1,1010,0.048652561990799946
1,1011,0.49812769666804535
1,1100,0.9625712677388816
1,1101,0.6169555398245773
1,1110,0.5694617582399106
1,1111,0.9625053397178964
2,0000,0.41507578887436325
2,0001,0.03682542630828497
2,0010,0.03682542630828497
2,0011,0.41507578887436325
2,0100,0.4999999999999999
2,0101,0.05112395551882689
2,0110,0.5
2,0111,0.9488760444811731
2,1000,0.9488760444811731
2,1001,0.4999999999999999
2,1010,0.05112395551882689
2,1011,0.5
2,1100,0.9631745736917149
2,1101,0.5849242111256366
2,1110,0.5849242111256369
2,1111,0.9631745736917149
3,0000,0.39892701118360246
3,0001,0.037444986698148
3,0010,0.03644595994268538
3,0011,0.4467852570298089
3,0100,0.5057838772899629
3,0101,0.05963373833708832
3,0110,0.5247919290393043
3,0111,0.9515832205260604
3,1000,0.9087725681190066
3,1001,0.6215343885782117
3,1010,0.11130633859414657
3,1011,0.5743714343704559
3,1100,0.9422911346694515
3,1101,0.7287458206724079
3,1110,0.6684627264284211
3,1111,0.933687091804538
4,0000,0.3671250130052501
4,0001,0.03725734659651867
4,0010,0.07543901811705857
4,0011,0.41839413497957956
4,0100,0.6118556142243233
4,0101,0.09515577337295829
4,0110,0.696090256980143
4,0111,0.9528163065972647
4,1000,0.8249001423039142
4,1001,0.4803375893778996
4,1010,0.11292702136281534
4,1011,0.5039619824591696
4,1100,0.9522926889420574
4,1101,0.796602183550596
4,1110,0.7918265033867693
4,1111,0.9681084859178701
5,0000,0.20339781644940408
5,0001,0.047707311057942584
5,0010,0.03189151408212982
5,0011,0.20817349661323065
5,0100,0.5196624106221004
5,0101,0.17509985769608577
5,0110,0.49603801754083043
5,0111,0.8870729786371847
5,1000,0.9048442266270418
5,1001,0.3881443857756767
