structure,seed,epoch,block,accuracy,pred_share_B
uncorrelated,12376,4,15,1.0,0.5
uncorrelated,12407,1,1,1.0,0.49405572610814696
uncorrelated,12407,1,2,1.0,0.49786431912235746
uncorrelated,12407,1,3,1.0,0.5002405534747785
uncorrelated,12407,1,4,1.0,0.5015982521986064
uncorrelated,12407,1,5,1.0,0.5024735098112748
uncorrelated,12407,1,6,1.0,0.5030839470741435
uncorrelated,12407,1,7,1.0,0.5035337302856467
uncorrelated,12407,1,8,1.0,0.5038788159798981
uncorrelated,12407,1,9,1.0,0.5041519117924506
uncorrelated,12407,1,10,1.0,0.5043733981385347
uncorrelated,12407,1,11,1.0,0.5045566310925346
uncorrelated,12407,1,12,1.0,0.5047107277516341
uncorrelated,12407,1,13,1.0,0.5048421230223622
uncorrelated,12407,1,14,1.0,0.5049554862947626
uncorrelated,12407,1,15,1.0,0.5050542911386711
uncorrelated,12407,2,1,1.0,0.5
uncorrelated,12407,2,2,1.0,0.5
uncorrelated,12407,2,3,1.0,0.5
uncorrelated,12407,2,4,1.0,0.5
uncorrelated,12407,2,5,1.0,0.5
uncorrelated,12407,2,6,1.0,0.5
uncorrelated,12407,2,7,1.0,0.5
uncorrelated,12407,2,8,1.0,0.5
uncorrelated,12407,2,9,1.0,0.5
uncorrelated,12407,2,10,1.0,0.5
uncorrelated,12407,2,11,1.0,0.5
uncorrelated,12407,2,12,1.0,0.5
uncorrelated,12407,2,13,1.0,0.5
uncorrelated,12407,2,14,1.0,0.5
uncorrelated,12407,2,15,1.0,0.5
uncorrelated,12407,3,1,1.0,0.5
uncorrelated,12407,3,2,1.0,0.5
uncorrelated,12407,3,3,1.0,0.5
uncorrelated,12407,3,4,1.0,0.5
uncorrelated,12407,3,5,1.0,0.5
uncorrelated,12407,3,6,1.0,0.5
uncorrelated,12407,3,7,1.0,0.5
uncorrelated,12407,3,8,1.0,0.5
uncorrelated,12407,3,9,1.0,0.5
uncorrelated,12407,3,10,1.0,0.5
uncorrelated,12407,3,11,1.0,0.5
uncorrelated,12407,3,12,1.0,0.5
uncorrelated,12407,3,13,1.0,0.5
uncorrelated,12407,3,14,1.0,0.5
uncorrelated,12407,3,15,1.0,0.5
uncorrelated,12407,4,1,1.0,0.5
uncorrelated,12407,4,2,1.0,0.5
uncorrelated,12407,4,3,1.0,0.5
uncorrelated,12407,4,4,1.0,0.5
uncorrelated,12407,4,5,1.0,0.5
uncorrelated,12407,4,6,1.0,0.5
uncorrelated,12407,4,7,1.0,0.5
uncorrelated,12407,4,8,1.0,0.5
uncorrelated,12407,4,9,1.0,0.5
uncorrelated,12407,4,10,1.0,0.5
uncorrelated,12407,4,11,1.0,0.5
uncorrelated,12407,4,12,1.0,0.5
uncorrelated,12407,4,13,1.0,0.5
uncorrelated,12407,4,14,1.0,0.5
uncorrelated,12407,4,15,1.0,0.5
uncorrelated,12438,1,1,1.0,0.5
uncorrelated,12438,1,2,1.0,0.5
uncorrelated,12438,1,3,1.0,0.5
uncorrelated,12438,1,4,1.0,0.5
uncorrelated,12438,1,5,1.0,0.5
uncorrelated,12438,1,6,1.0,0.5
uncorrelated,12438,1,7,1.0,0.5
uncorrelated,12438,1,8,1.0,0.5
uncorrelated,12438,1,9,1.0,0.5
uncorrelated,12438,1,10,1.0,0.5
uncorrelated,12438,1,11,1.0,0.5
uncorrelated,12438,1,12,1.0,0.5
uncorrelated,12438,1,13,1.0,0.5
uncorrelated,12438,1,14,1.0,0.5
uncorrelated,12438,1,15,1.0,0.5
uncorrelated,12438,2,1,1.0,0.5
uncorrelated,12438,2,2,1.0,0.5
uncorrelated,12438,2,3,1.0,0.5
uncorrelated,12438,2,4,1.0,0.5
uncorrelated,12438,2,5,1.0,0.5
uncorrelated,12438,2,6,1.0,0.5
uncorrelated,12438,2,7,1.0,0.5
uncorrelated,12438,2,8,1.0,0.5
