structure,seed,epoch,block,accuracy,pred_share_B
correlated,12376,3,14,1.0,0.5
correlated,12376,3,15,1.0,0.5
correlated,12376,4,1,1.0,0.5
correlated,12376,4,2,1.0,0.5
correlated,12376,4,3,1.0,0.5
correlated,12376,4,4,1.0,0.5
correlated,12376,4,5,1.0,0.5
correlated,12376,4,6,1.0,0.5
correlated,12376,4,7,1.0,0.49999999999999994
correlated,12376,4,8,1.0,0.5
correlated,12376,4,9,1.0,0.5
correlated,12376,4,10,1.0,0.5
correlated,12376,4,11,1.0,0.5
correlated,12376,4,12,1.0,0.5
correlated,12376,4,13,1.0,0.49999999999999994
correlated,12376,4,14,1.0,0.5
correlated,12376,4,15,1.0,0.5
correlated,12407,1,1,1.0,0.5
correlated,12407,1,2,1.0,0.5
correlated,12407,1,3,1.0,0.5
correlated,12407,1,4,1.0,0.5
correlated,12407,1,5,1.0,0.5
correlated,12407,1,6,1.0,0.5
correlated,12407,1,7,1.0,0.49999999999999994
correlated,12407,1,8,1.0,0.5
correlated,12407,1,9,1.0,0.5
correlated,12407,1,10,1.0,0.5
correlated,12407,1,11,1.0,0.5
correlated,12407,1,12,1.0,0.5
correlated,12407,1,13,1.0,0.49999999999999994
correlated,12407,1,14,1.0,0.5
correlated,12407,1,15,1.0,0.5
correlated,12407,2,1,1.0,0.5
correlated,12407,2,2,1.0,0.5
correlated,12407,2,3,1.0,0.5
correlated,12407,2,4,1.0,0.5
correlated,12407,2,5,1.0,0.5
correlated,12407,2,6,1.0,0.5
correlated,12407,2,7,1.0,0.49999999999999994
correlated,12407,2,8,1.0,0.5
correlated,12407,2,9,1.0,0.5
correlated,12407,2,10,1.0,0.5
correlated,12407,2,11,1.0,0.5
correlated,12407,2,12,1.0,0.5
correlated,12407,2,13,1.0,0.49999999999999994
correlated,12407,2,14,1.0,0.5
correlated,12407,2,15,1.0,0.5
correlated,12407,3,1,1.0,0.5
correlated,12407,3,2,1.0,0.5
correlated,12407,3,3,1.0,0.5
correlated,12407,3,4,1.0,0.5
correlated,12407,3,5,1.0,0.5
correlated,12407,3,6,1.0,0.5
correlated,12407,3,7,1.0,0.49999999999999994
correlated,12407,3,8,1.0,0.5
correlated,12407,3,9,1.0,0.5
correlated,12407,3,10,1.0,0.5
correlated,12407,3,11,1.0,0.5
correlated,12407,3,12,1.0,0.5
correlated,12407,3,13,1.0,0.49999999999999994
correlated,12407,3,14,1.0,0.5
correlated,12407,3,15,1.0,0.5
correlated,12407,4,1,1.0,0.5
correlated,12407,4,2,1.0,0.5
correlated,12407,4,3,1.0,0.5
correlated,12407,4,4,1.0,0.5
correlated,12407,4,5,1.0,0.5
correlated,12407,4,6,1.0,0.5
correlated,12407,4,7,1.0,0.49999999999999994
correlated,12407,4,8,1.0,0.5
correlated,12407,4,9,1.0,0.5
correlated,12407,4,10,1.0,0.5
correlated,12407,4,11,1.0,0.5
correlated,12407,4,12,1.0,0.5
correlated,12407,4,13,1.0,0.49999999999999994
correlated,12407,4,14,1.0,0.5
correlated,12407,4,15,1.0,0.5
correlated,12438,1,1,1.0,0.5
correlated,12438,1,2,1.0,0.5
correlated,12438,1,3,1.0,0.5
correlated,12438,1,4,1.0,0.5
correlated,12438,1,5,1.0,0.5
correlated,12438,1,6,1.0,0.5
correlated,12438,1,7,1.0,0.49999999999999994
correlated,12438,1,8,1.0,0.5
correlated,12438,1,9,1.0,0.5
correlated,12438,1,10,1.0,0.5
correlated,12438,1,11,1.0,0.5
correlated,12438,1,12,1.0,0.5
correlated,12438,1,13,1.0,0.49999999999999994
correlated,12438,1,14,1.0,0.5
correlated,12438,1,15,1.0,0.5
correlated,12438,2,1,1.0,0.5
correlated,12438,2,2,1.0,0.5
correlated,12438,2,3,1.0,0.5
correlated,12438,2,4,1.0,0.5
correlated,12438,2,5,1.0,0.5
correlated,12438,2,6,1.0,0.5
correlated,12438,2,7,1.0,0.49999999999999994
correlated,12438,2,8,1.0,0.5
correlated,12438,2,9,1.0,0.5
correlated,12438,2,10,1.0,0.5
correlated,12438,2,11,1.0,0.5
correlated,12438,2,12,1.0,0.5
correlated,12438,2,13,1.0,0.49999999999999994
correlated,12438,2,14,1.0,0.5
correlated,12438,2,15,1.0,0.5
correlated,12438,3,1,1.0,0.5
correlated,12438,3,2,1.0,0.5
correlated,12438,3,3,1.0,0.5
correlated,12438,3,4,1.0,0.5
correlated,12438,3,5,1.0,0.5
correlated,12438,3,6,1.0,0.5
correlated,12438,3,7,1.0,0.49999999999999994
correlated,12438,3,8,1.0,0.5
correlated,12438,3,9,1.0,0.5
correlated,12438,3,10,1.0,0.5
correlated,12438,3,11,1.0,0.5
correlated,12438,3,12,1.0,0.5
correlated,12438,3,13,1.0,0.49999999999999994
correlated,12438,3,14,1.0,0.5
correlated,12438,3,15,1.0,0.5
correlated,12438,4,1,1.0,0.5
correlated,12438,4,2,1.0,0.5
correlated,12438,4,3,1.0,0.5
correlated,12438,4,4,1.0,0.5
correlated,12438,4,5,1.0,0.5
correlated,12438,4,6,1.0,0.5
correlated,12438,4,7,1.0,0.49999999999999994
correlated,12438,4,8,1.0,0.5
correlated,12438,4,9,1.0,0.5
correlated,12438,4,10,1.0,0.5
correlated,12438,4,11,1.0,0.5
correlated,12438,4,12,1.0,0.5
correlated,12438,4,13,1.0,0.49999999999999994
correlated,12438,4,14,1.0,0.5
correlated,12438,4,15,1.0,0.5
correlated,12469,1,1,1.0,0.5
correlated,12469,1,2,1.0,0.5
correlated,12469,1,3,1.0,0.5
correlated,12469,1,4,1.0,0.5
correlated,12469,1,5,1.0,0.5
correlated,12469,1,6,1.0,0.5
correlated,12469,1,7,1.0,0.49999999999999994
correlated,12469,1,8,1.0,0.5
correlated,12469,1,9,1.0,0.5
correlated,12469,1,10,1.0,0.5
correlated,12469,1,11,1.0,0.5
correlated,12469,1,12,1.0,0.5
correlated,12469,1,13,1.0,0.49999999999999994
correlated,12469,1,14,1.0,0.5
correlated,12469,1,15,1.0,0.5
correlated,12469,2,1,1.0,0.5
correlated,12469,2,2,1.0,0.5
correlated,12469,2,3,1.0,0.5
correlated,12469,2,4,1.0,0.5
correlated,12469,2,5,1.0,0.5
correlated,12469,2,6,1.0,0.5
correlated,12469,2,7,1.0,0.49999999999999994
correlated,12469,2,8,1.0,0.5
correlated,12469,2,9,1.0,0.5
correlated,12469,2,10,1.0,0.5
correlated,12469,2,11,1.0,0.5
correlated,12469,2,12,1.0,0.5
correlated,12469,2,13,1.0,0.49999999999999994
correlated,12469,2,14,1.0,0.5
correlated,12469,2,15,1.0,0.5
correlated,12469,3,1,1.0,0.510790079423233
